"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP198343",72,"Large, Diverse Population Cohorts of hiPSCs and Derived Hepatocyte-like Cells Reveal Functional Genetic Variation at Blood Lipid-Associated Loci","Musunuru, Brown, Rader, and colleagues of the NHLBI NextGen consortium use multi-ethnic population cohorts of iPSCs and differentiated hepatocyte-like cells, in combination with mouse models, to discover and validate functional DNA variants and genes at blood lipid- associated loci previously identified by genome-wide association studies. Overall design: Peripheral blood mononuclear cells (PBMCs) isolated 91 individuals (43% African Americans and 55% European Americans; 60% women and 40% men) were used to generate iPSCs. PBMCs were differentiated into HLCs which were morphologically similar to primary hepatocytes. RNA-seq data was generated from iPSCs (n=89), HLCs (n=86), primary hepatocytes (n=4) and whole liver in GTEx cohort (n=96). The majority of data for this study is deposited in at dbGaP for controlled access: https://www.ncbi.nlm.nih.gov/gap/?term=phs001341"
"human","data_sources/sra","SRP069243",270,"Genome-wide expression profile in FH-deficient (UOK262) vs FH-competent (UOK262pFH) human cells derived from metastatsis to the mediastinum of a HLRCC patient","Comparison of the transcriptome of human kideny cancer cells either wild-type for FH or FH-deficient. The UOK262 cells were isolated from mediastinum metastasis of a HLRCC patient (Yang et al. Cancer Genetics and Cytogenetics, Volume 196, Issue 1, 1 January 2010, Pages 45–55). FH function was restored in the UOK262 by re-expressing the FH transcript from an exogenous plasmid. Overall design: Examination of gene transciption in 2 cell types."
"human","data_sources/sra","SRP071643",384,"SC3-consensus clustering of single cell RNA-Seq data","We report a new unsupervised clustering tool for single cell RNA-seq data called SC3. We show that biologically relevant information can be obtained from preneoplastic cells of patients with myeloprolifertive disease. Overall design: examination of three different patients with myeloproloferative disease"
"human","data_sources/sra","ERP016243",650,"Human Developmental Biology Resource (HDBR) expression resource-RNAseq","""The Human Developmental Biology Resource (HDBR) expression resource is a new resource for studying prenatal human brain development. It consists of two parts which have been uploaded as two submissions: HDBR expression resource- RNAseq (E-MTAB-4840, this submission) and HDBR expression resource- SNP data (E-MTAB-4843). It is unique in the age range (4 post conception weeks [PCW] to 17PCW) and number of brains studied, particularly those under 8PCW. It is also unique in that both the large-scale data sets and the corresponding RNA and DNA samples are available, the latter via the MRC-Wellcome Trust Human Developmental Biology Resource (HDBR; http://www.hdbr.org). There are 628 RNA-seq datasets from different regions of the brains studied. The number of regions depends on the stage and size of the sample and/or the tissue available. Embryos (4-8PCW) have been staged using a modified Carnegie staging system, details can be found at http://database.hudsen.eu/. All the RNAseq datasets from the same brain have the same embryo/fetus number (e.g. RNAseq datasets HDBR251-HDBR254 are from different tissues from embryo number 1406). The embryo/fetus ID number is recorded in the “individual” column. The majority of the brains studied are between 4 and 12PCW.  During this time the major brain regions are established and there are the early stages of cortex development.  DNA was prepared from all the tissues used for RNA-seq analysis and SNP genotype data generated from one tissue from each brain.  RNA-seq data and SNP-data from the same tissue and brain have the same name (e.g. HDBR469). There are also SNP genotype data from 229 additional specimens in paraffin wax blocks available for individual gene expression studies. These data are in the accompanying """"HDBR expression resource- SNP data"""" (E-MTAB-4843). """
"human","data_sources/sra","SRP178543",121,"Single-cell RNA sequencing on breast cancer cells enriched for cancer stem cell properties using functional assays","We used mammosphere formation assay and label-retention assay as functional cellular approaches to enrich for cells with different degree of cancer stem cell properties in the breast cancer cell line MDA-MB-231 and performed single-cell RNA sequencing Overall design: Single cells from three different populations: 30 cells from G1 cell cycle phase cultured in adherent conditions, 46 cells with low proliferation cultured in non-adherent conditions (mammosphere assasy), 45 cells with high proliferation cultured in non-adherent conditions (mammosphere assay)"
"human","data_sources/sra","SRP111343",103,"RNAseq analysis of chemotherapy and radiation therapy-naïve breast tumors","Assessment of chemo- and radiation therapy-naïve biopsy-confirmed invasive human breast tumors by RNAseq. Overall design: 103 total samples from 63 unique patients. Clinical details were provided only for the 50 samples in current publication. However, all 103 samples were analyzed together."
"human","data_sources/sra","SRP155543",186,"B cell single cell seq in allergen-specfic immunotherapy","IgE-producing memory cells are hard to detect in the periphery. Here, we sorted IgE+ memory B cells from allergic patients who had received allergen-immunotherapy for grass pollen. Cells were FACS-sorted and subseuqenlty sequenced by single cell RNAseq to determine isotype and phenotype. Two out of 90 cells were determiend to be true IgE producing memory B cells. Overall design: 95 single B cells were sorted, no replicates were perfromed. One control sample was included."
"human","data_sources/sra","SRP217543",96,"The conjunctival transcriptome in Ethiopians after trichiasis surgery: associations with the development of eyelid contour abnormalities and the effect of oral doxycycline treatment","Surgery to correct trichiasis is a key component of the WHO trachoma control strategy, however unfavourable outcomes such as eyelid contour abnormalities (ECA) following surgery are relatively common. This study aimed to understand the transcriptional changes associated with the early development of ECA and the impact of doxycycline, which has anti-inflammatory and anti-fibrotic properties, upon these transcription patterns. One thousand Ethiopians undergoing trichiasis surgery were enrolled in a randomised controlled trial following informed consent. Equal groups of individuals were orally administered with 100mg/day of doxycycline or placebo for 28 days. Conjunctival swabs were collected immediately prior to surgery and at one- and six-months post-surgery. 3' mRNA sequencing was performed on paired baseline and one-month samples from 48 individuals; 24 from each treatment group. Within each treatment group, 12 individuals developed ECA. Treatment and outcome groups were matched by age, sex and baseline disease severity. qPCR validation was then performed for 46 genes of interest in 145 individuals who developed ECA at one month and 145 matched controls, using samples from baseline, one and six months. All treatment/outcome groups upregulated genes associated with wound healing pathways at one month relative to baseline, however no differences were detected between groups. The summed expression of a highly coexpressed cluster of pro-fibrotic genes was higher in patients that developed ECA in the placebo group relative to controls. qPCR validation revealed that all genes in this cluster and a number of other pro-inflammatory genes were strongly associated with ECA, however these associations were not modulated by trial arm. The development of post-operative ECA is associated with overexpression of pro-inflammatory and pro-fibrotic genes including growth factors, matrix metalloproteinases, collagens and extracellular matrix proteins. There was no evidence that doxycycline modulated the association between gene expression and ECA. Overall design: One thousand Ethiopians undergoing trichiasis surgery were enrolled in a randomised controlled trial following informed consent. Equal groups of individuals were orally administered with 100mg/day of doxycycline or placebo for 28 days. Conjunctival swabs were collected immediately prior to surgery and at one- and six-months post-surgery. 3' mRNA sequencing was performed on paired baseline and one-month samples from 48 individuals; 24 from each treatment group. Within each treatment group, 12 individuals developed ECA. Treatment and outcome groups were matched by age, sex and baseline disease severity."
"human","data_sources/sra","SRP078234",66,"Left-right asymmetry of maturation rates in human embryonic neural development","Left-right asymmetry is a fundamental organizing feature of the human brain, and neuro-psychiatric disorders such as schizophrenia sometimes involve alterations of brain asymmetry. As early as 8 weeks post conception, the majority of human foetuses move their right arms more than their left arms, but because nerve fibre tracts are still descending from the forebrain at this stage, spinal-muscular asymmetries are likely to play an important developmental role. Here we have used gene expression profiling in 18 human embryos to show that the left side of the human spinal cord, between four and eight weeks post conception, matures slightly faster than the right side, even though both sides transition from transcriptional profiles associated with cell division and proliferation at earlier stages, to later neuronal differentiation and function. The hindbrain showed a left-right mirrored pattern compared to the spinal cord. Overall design: RNA was extracted from left and right spinal cord and left and right hindbrain from 18 human embryos ranging in age from Carnegie stage 13 to Carnegie stage 23. For library preparation, Illumina TruSeq RNA-kits (Illumina, San Diego, CA, USA) were used according to the manufacturer’s instructions. The library was sequenced using Illumina HiSeq(TM) 2000 at BGI, yielding paired reads of 90bp. The clean reads were aligned to the reference sequence GRCh37 (hg19) with SOAPaligner/SOAP2 v2.21 and Tophat (v2.08)."
"human","data_sources/sra","SRP078134",60,"Identification of a nuclear exosome decay pathway for processed transcripts","The   RNA   exosome   is   fundamental   for   the   degradation   of   RNA   in eukaryotic  nuclei.  Substrate  targeting   is  facilitated  by  its  co-factor Mtr4p/hMTR4,  which  links  to RNA-binding  protein  adaptors. One  such activity  is  the  human  Nuclear  EXosome  Targeting  (NEXT)  complex, composed  of  hMTR4,  the  Zn-finger  protein  ZCCHC8  and  the  RNA-binding  factor  RBM7.  NEXT  primarily  targets  early  and  unprocessed transcripts, demanding   a   rationale   for   how   the   nuclear exosome recognizes processed  RNAs. Here, we describe the  PolyA tail eXosome Targeting  (PAXT)  connection, comprising  the  hitherto  uncharacterized ZFC3H1 Zn-knuckle  protein  as  a  central  link  between  hMTR4  and  the nuclear  polyA  binding  protein  PABPN1.  Individual  depletion  of  ZFC3H1 and  PABPN1  results  in  the  accumulation  of  common  transcripts,  that are   generally   both   longer   and   more   3'polyadenylated   than   NEXT substrates. Importantly, ZFC3H1/PABPN1  and  ZCCHC8/RBM7  contact hMTR4  in  a  mutually  exclusive  manner,  revealing  that  the  exosome targets nuclear transcripts of different maturation status by substituting its hMTR4-associating adaptors. Overall design: RNA from HeLa cells was analysed by next generation sequencing upon depletion of EGFP(control), RRP40, RBM7, ZCCHC8, PABPN1 and ZFC3H1. Both total and BrU RNA (one hour labeling) were collected for each condition in triplicates. The spike-in sequences used in the samples can be provided upon request."
"human","data_sources/sra","SRP122534",56,"Induced MIST1 and PTF1a Expression in Pancreatic Ductal Adenocarcinoma Cells","Purpose: The goal of the study was to determine the effects of forced expression of the acinar transcription factors MIST1 and PTF1a in PDAC cells. Methods: Doxycycline inducible MIST1myc and PTF1amyc Panc-1 cells were generated using Clontech's Tetone System and subjected to RNA-Sequencing following doxycycline treatment. Results: 50 million sequence reads were mapped to the human genome. Data suggests acinar associated molecules were induced upon doxycyline treatment. Conclusions: MIST1 and PTF1a retain functional activity and can promote acinar gene expression in the context of pancreatic cancer cells. Overall design: Panc-1 tet-inducible MIST1 and PTF1a cells were treated in the absence or presence  of 1 µg/ml doxycycyline for 72 hours."
"human","data_sources/sra","SRP076334",221,"Identification of rare, dormant and therapy resistant stem cells in acute lymphoblastic leukemia","Tumor relapse is associated with dismal prognosis, but responsible biological principles remain incompletely understood. To isolate and characterize relapse-inducing cells, we used genetic engineering and proliferation-sensitive dyes in patient-derived xenografts of acute lymphoblastic leukemia (ALL). We identified a rare subpopulation that resembled relapse-inducing cells with combined properties of long-term dormancy, treatment resistance, and stemness. Single-cell and bulk expression profiling revealed their similarity to primary ALL cells isolated from pediatric and adult patients at minimal residual disease (MRD). Therapeutically adverse characteristics were reversible, as resistant, dormant cells became sensitive to treatment and started proliferating when dissociated from the in vivo environment. Our data suggest that ALL patients might profit from therapeutic strategies that release MRD cells from the niche. Overall design: Gene expression profiles from two PDX ALL Samples (ALL-199 & ALL-265) were generated for either dormant (LRC) vs. dividing (non-LRC) cells or drug treated vs. non-treated cells. For single cell analysis one mouse were analyzed for each condition."
"human","data_sources/sra","SRP096334",229,"Single cell gene expression in Dlxi1/2b::eGFP+ cells before and after migration, 2 weeks","We report the expression of selected genes associated with cortical, striatal and olfactory interneurons in hSS-derived Dlxi1/2::eGFP cells before (in hSS) and after migration (in hCS). By fusing hiPSC-derived fusions that were separately patterned to generate either human subpallial spheroids (hSS) or human cortical spheroids (hCS) we are able to model human interneuron migration in vitro. The aim of this experiment is to examine the gene expression of hSS-derived Dlxi1/2::eGFP cells before and after migration. Overall design: Examination of 123 cells Dlxi1/2::eGFP cells in hSS (not migrated) and 106 Dlxi1/2::eGFP cells in hCS (migrated)."
"human","data_sources/sra","ERP022034",58,"RNA sequencing of pancreatic adenocarcinoma (PDAC) xenograft samples","Pancreatic adenocarcinoma (PDAC) is one of the most lethal human malignancies and a major health problem. Patient-derived xenografts (PDX) are appearing as a prime approach for preclinical studies despite being insufficiently characterized as a model of the human disease and its diversity. We generated subcutaneous PDX from PDAC samples obtained either surgically or using diagnostic biopsies (endoscopic ultrasound guided fine needle aspirate). The extensive multiomics characterization of the xenografts demonstrated that PDX is a suitable model for preclinical studies, representing the diversity of the primary cancers. this dataset, describe the RNA sequencing data used in the multiomics study."
"human","data_sources/sra","SRP113334",276,"Transcriptomic analysis of senescent cells upon knockdown of 38 candidate SASP-specific regulators.","IMR90 ER:RAS cells were transfected with scramble siRNA or 2 deconvoluted siRNAs targeting each of 38 candidate genes or positive control siRNAs targeting the senescence regulators p16 and p53 and the SASP regulators NF-kappaB, p38alpha and CEBPbeta. The next day the cells were treated with 4OHT to induce senescence. 6 days later the cells were collected for total mRNA analysis. Our previous experiments had shown that these 38 genes regulate the secretome of senescent cells without affecting other senescence phenotypes such as the growth arrest. By performing RNA-seq we confirmed that knockdown of these genes affected the expression of multiple pro-inflammatory factors in senescence. More importantly, the secreted factors were differentially regulated across the different knockdown conditions indicating potential for specific manipulation of immune response genes. Overall design: 92 conditions were examined: proliferating cells (Noninduced), senescent cells (Water, Allstars), senescent cells transfected with 2 siRNAs targeting 38 different genes (Hs_GeneID_n), senescent cells transfected with positive control siRNAs (p16, p53, CEBPB, p38, p65) and additional conditions included proliferating and senescent IMR90 ER:RAS cells mock-transfected or transfected with various non-targeting siRNAs (Extras1-8) to monitor changes in gene epression independent of gene knockdown."
"human","data_sources/sra","ERP010795",78,"Transcriptome sequencing identifies dysregulated WNT signaling in precursor lesion and recurrent mutations of tumor suppressor RNF43 during malignant transformation in multistep gastric carcinogenesis","A subset of gastric cancers develops gradually through multistep carcinogenesis, but genomic landscape of early stage of gastric carcinogenesis through adenoma-carcinoma sequence remains unclear. We performed RNA sequencing on 12 low grade dysplasia (LGDs), 10 high grade dysplasia (HGDs), and 17 intestinal-type early gastric cancers (EGCs)."
"human","data_sources/sra","SRP140795",56,"Using RNA sequencing to examine age-dependent skeletal muscle transcriptome response to bed rest-induced atrophy, and age independent disuse-induced insulin resistance","Short-term bed rest is used to simulate muscle disuse in humans.  In our previous reports, we found that 5d of bed rest induced a ~4% loss of skeletal muscle mass in OLD (60-79 y) but not YOUNG (18-28 y) subjects. Identifying muscle transcriptional events in response to bed rest and age-related differences will help identify therapeutic targets to offset muscle loss in vulnerable older adult populations.  Skeletal muscle dysregulation during bed rest in the old may be driven by alterations in molecules related to fibrosis, inflammation, and cell adhesion. This information may aide in the development of mechanistic-based therapies to combat muscle atrophy during short-term disuse.  Short-term muscle disuse is also characterized by skeletal muscle insulin resistance, though this response is divergent across subjects. The mechanisms regulating inactivity-induced insulin resistance between populations that are more or less susceptible to disuse-induced insulin resistance are not known, and delineated by age. High Susceptibility participants were uniquely characterized with muscle gene responses described by a decrease in pathways responsible for lipid uptake and oxidation, decreased capacity for triglyceride export (APOB), increased lipogenesis (i.e., PFKFB3, FASN), and increased amino acid export (SLC43A1). Overall design: RNA was isolated and sequenced from muscle biopsies obtained from the vastus lateralis of YOUNG (N=9) and OLD (N=18) men and women before and after five days of bed rest. Sequencing libraries (18 pM) were chemically denatured and applied to an Illumina TruSeq v3 single read flowcell using an Illumina cBot.  Hybridized molecules were clonally amplified and annealed to sequencing primers with reagents from an Illumina TruSeq SR Cluster Kit v3-cBot-HS (GD-401-3001).   Following transfer of the flowcell to an Illumina HiSeq 2500 instrument (HCS v2.0.12 and RTA v1.17.21.3), a 50 cycle single read sequence run was performed using TruSeq SBS v3 sequencing reagents (FC-401-3002). The design formula was constructed by following the section on group-specific condition effects, individuals nested within groups in the DESeq2 vignette.   The design included age + age:nested + age:time to test for differences in bed rest in old subjects, young subjects and the interaction, in this case if bed rest effects are different between the two age groups (where age is young or old, nested is patient number nested by age and time is pre- or post-bed rest).  A similar design was used to determine susceptibility to disuse-induced insulin resistance, where “susceptibility” took the place of “age”."
"human","data_sources/sra","SRP144495",384,"Identifying dormant cells in colorectal cancer spheroids","Cellular dormancy and heterogeneous cell cycle lengths provide important explanations for treatment failure following adjuvant therapy with S-phase cytotoxics in colorectal cancer (CRC) yet the molecular control of the dormant versus cycling state remains unknown.  In CRCs dormant cells are found to be highly clonogenic and resistant to chemotherapies.  We sought to understand the molecular features of dormant CRC cells to facilitate rationale identification of compounds to target both dormant and cycling tumour cells. Overall design: Six colorectal cancer cell lines (DLD1, HCT15, HT55, SW948, RKO and SW48) were labelled with the cell permeable dye CFSE and then grown in non-adherent spheroid culture for 6 days to enable identification of dormant cells that retain CFSE (LRC) and cycling cells (BULK).  LRCs and BULK populations were then FACS sorted from each cell line in quadruplicate. As a control experiment, to identify off-target effects of the CFSE dye and culture artefacts, BULK populations from DLD1 cells at d1 and d6 after seeding both with and without CFSE labelling were included in the RNAseq analysis.  RNA was extracted using the RNAeasy Micro Plus kit (Qiagen) and quantified using the Qubit RNA Assay Kit (Thermo Fisher Scientific).  RNA quality was assessed using the Agilent Bioanalyser system as per manufacturer's instructions.  Following normalisation and sample randomisation, Truseq library (Illumina) preparation was carried out at the CRUK CI genomics facility and subsequent single end, 50bp sequencing using the HiSeq system (Illumina).  Following human genome alignment (hg19), read counts were normalised and differential expression tested using the DEseq protocol."
"human","data_sources/sra","SRP106195",213,"A SRp55-regulated alternative splicing network controls pancreatic beta cell survival and function","Progressive failure of insulin-producing beta cells is the central event leading to diabetes, yet the signalling networks controlling beta cell fate remain poorly understood. Here we show that SRp55, a splicing factor regulated by the diabetes susceptibility gene GLIS3, has a major role in maintaining function and survival of human beta cells. RNA-seq analysis revealed that SRp55 regulates the splicing of genes involved in cell survival and death, insulin secretion and JNK signalling. Specifically, SRp55-mediated splicing changes modulate the function of the pro-apoptotic proteins BIM and BAX, JNK signalling and endoplasmic reticulum stress, explaining why SRp55 depletion triggers beta cell apoptosis. Furthermore, SRp55 depletion inhibits beta cell mitochondrial function, explaining the observed decrease in insulin release. These data unveil a novel layer of regulation of human beta cell function and survival, namely alternative splicing modulated by key splicing regulators such as SRp55 that may crosstalk with candidate genes for diabetes. Overall design: Five independent preparations of EndoC-ßH1 cells exposed to control (siCTL) or SRp55 (siSR#2) siRNAs"
"human","data_sources/sra","SRP150595",59,"Homo sapiens Transcriptome or Gene expression","In the current study we sought to investigate systemic effects of aneurysmal subarachnoid hemorrhage (SAH) through analysis of gene expression profiles in peripheral blood cells by means of deep transcriptome sequencing. We included 19 patients in the acute phase of IA rupture (RAA, first 72 hours), 20 patients in the chronic phase (RAC, 3-15 months), and 20 controls. We performed a global analysis of protein coding and non-coding gene variants regulated by SAH. We investigated expression of specific gene variants that may lead to production of functionally distinct protein isoforms and influence systemic response to IA rupture."
"human","data_sources/sra","SRP056295",525,"Leucegene: AML sequencing (part 5)","RNA sequencing of human leukemia Overall design: The goals of this project are to obtain a comprehensive study of mutations and gene expression in human acute myeloid leukemia (AML). Methods: AML cells were thawed. DNA and RNA (polyA) was extracted and sequences were obtained with an illumina HiSeq 2000 sequencer. Results are pending."
"human","data_sources/sra","SRP092795",69,"Ion Channel Expression Patterns in Glioblastoma Stem Cells with Functional and Therapeutic Implications for Malignancy","Ion channels and transporters have increasingly recognized roles in cancer progression through the regulation of cell proliferation, migration, and death. Glioblastoma stem-like cells (GSCs) are a source of tumor formation and recurrence in glioblastoma multiforme, a highly aggressive brain cancer, suggesting that ion channel expression may be perturbed in this population. However, little is known about the expression and functional relevance of ion channels that may contribute to GSC malignancy. Using RNA sequencing, we assessed the enrichment of ion channels in GSC isolates and non-tumor neural cell types. We identified a unique set of GSC-enriched ion channels using differential expression analysis that stratify by molecular subtype and are associated with distinct gene mutation signatures. In support of potential clinical relevance, expression of selected GSC-enriched ion channels evaluated in human glioblastoma databases of The Cancer Genome Atlas and Ivy Glioblastoma Atlas Project correlated with patient survival times. Finally, genetic knockdown or pharmacological inhibition of individual or classes of GSC-enriched ion channels constrained growth of GSCs compared to normal neural stem cells. This first-in-kind global examination characterizes ion channels enriched in GSCs and explores their potential clinical relevance to glioblastoma molecular subtypes, gene mutations, survival outcomes, regional tumor expression, and experimental responses to loss-of-function. Together, the data support the potential biological and therapeutic impact of ion channels on GSC malignancy and provide strong rationale for further examination of their mechanistic and therapeutic importance. Overall design: Ion channel expression in glioblastoma stem cells"
"human","data_sources/sra","SRP189995",77,"scRNA-seq analysis of the dual expressors, B cells and T cells of a diabetes patient","We identified a rare subset of autoreactive lymphocytes with a hybrid phenotype of T and B cells including coexpression of TCR and BCR and key lineage markers of both cell types (hereafter referred to as dual expressers or DEs).  To investigate the dual phenotype of DEs at single cell resolution, we examined their transcriptomes using single cell RNA sequencing (scRNA-seq). We sorted individual DEs, Bcon and Tcon cells from PBMCs of one type I diabetes patient and analyzed the transcriptomes  of 34 DEs,  20 Bcon , and 23 Tcon  using the plate-based SMART-seq2 protocol (Tirosh and Suva, 2018; Tirosh et al., 2016).  Our results show that DEs have uniquely expressed genes along with genes encoding lineage markers of T and B cells. Overall design: Examination of the transcriptomes of three cell types, Des (Dual Expressors), Bcon (Conventional B) and Tcon (Conventional T) cells from the  PBMCs of one type I diabetes patient"
"human","data_sources/sra","SRP148695",98,"Regulation of mRNA half-life by an inhibitor of human decapping enzyme Dcp2 following transcription shutoff in HEK293T cells","We report the application of next generation sequencing for measurement of mRNA levels under the effect of a macrocyclic inhibtor of human decapping enzyme 2 (hDcp2). Overall design: Examination of mRNA levels 0 h and 2 h after transcription block by actinomycin D in HEK293T cells treated by either 2 µM macrocyclic inhibitor CP25 or the same volume of vehicle for 18 h in triplicate."
"human","data_sources/sra","SRP214606",384,"Electrical and synaptic integration of glioma into neural circuits","We report single cell RNA-seq data from patient-derived xenografts that were dissociated, FACS sorted into 96-well plates and profiled by Smart-seq2 and sequencing on an Illumina NextSeq500 Overall design: Individual cells from two DIPG cell cultures derived by the Monje lab (DIPG VI and DIPG XIII-FL) were isolated by enzymatic and mechanical digestion followed by FACS sorting. cDNA libraries were generated using Smart-seq2 and  Nextera XT with dual unique indexes. Libraries were sequenced on an Illumina NextSeq500, reads aligned by Bowtie and quantified by RSEM and alayses performed using Seurat."
"human","data_sources/sra","SRP156506",192,"Tumor and stromal reaction under drug treatment in EUS-derived xenografts of human pancreatic adenocarcinoma","BACKGROUND: Pancreatic ductal adenocarcinoma (PDAC) is unique for its high stromal components play important role for tumor progression and therapeutic resistance. However, relevant preclinical models that recapitulate these tumor microenvironment are lacking and how the differences in the microenvironment affect cancer cell behavior are poorly understood. Here, we investigated the effects of tumor microenvironment on cancer cells behavior and therapeutic response. METHODS: Previously established two behaviorally distinct patient-derived tumor xenografts (PDTX) models (moderate: PAC006 and poorly differentiated: PAC010) were re-implanted in Nude mice. Tumor volume, histology, immuno-histochemical, RNA sequencing and other molecular technique were used to characterize the models and study the effect of two classes of drugs (Gemcitabine (nucleoside analog) and Acriflavine (HIF-inhibitor)). RESULTS: -Models- The models recapitulated the histologic, genetic and biological characteristics of the corresponding primary tumors except the replacement of human stroma with mice stroma. The growth-rate of the tumors was significantly different between both models (cell doubling time, PAC006: 5.8 days vs PAC010: 3.6 days, p=0.005). Rapid tumor growth was associated with poor tumor differentiation that may reflect the ability of our PDTX models to mimic the cellular and non-cellular features of the parental tumor. At the molecular level, the poorly differentiated model showed increased Ki-67 staining and higher phosphorylation levels of AKT, ERK and NF-kB65. In addition, RT-qPCR, NGS and protein expression showed significant up-regulation of mesenchymal markers in tumor cells (e.g. VIM, SNAI2, HIF1A and TGF-ß1) and growth factors and cytokines in mice stroma. RNA sequencing analysis from tumor cells and stroma demonstrated activation of pathways related to tumor progression and aggressiveness in PAC010 compared to PAC006. Gemcitabine treatment resulted in a shrinking of the tumor and reduction of proliferation in both models. Interestingly, gemcitabine treatment also significantly enhanced the expression of mesenchymal marker (e.g. VIM, SNAI2, SPARC, ZEB1), particularly in the well-moderately differentiated tumor model. Acriflavine had little effect on tumor growth in both models. Overall design: Tumor implantation, treatment procedure, growth and sample collection: Stored tumor tissue was implanted into a first group of 4 mice, after establishment of growth tumor tissue in these mice the tumors were used for expansion in a new generation of mice. After the tumor reach a volume of 100-200 mm3, these mice were randomly divided into three groups with eight mice in each group; A) the control group that was treated with vehicle (0.9% NaCl) and the experimental groups was treated intraperitoneally for up to 28 days with B) Gemcitabine (50 mg/kg) injected twice a week. C) Acriflavine: schedule four doses of acriflavine were injected daily with a fixed dose of 5 mg/kg Monday to Thursday and single dose of 10 mg/kg on Friday for the weekend. Prior to actual study, a toxicity study for ACF was carried out. The body weight and tumor size were measured thrice a week (Monday, Wednesday and Friday). The tumor volume was calculated using the formula: Tumor length (mm) x Tumor width (mm) x Tumor depth (mm) x (3.14/6) = Tumor volume (mm³). Tumors were harvested as soon as their volume reached 1000?–?1500 ?mm3. The tissue samples from each tumor were weighed, photographed and stored for histological analysis and molecular profiling."
"human","data_sources/sra","SRP065206",72,"BRD4 connects enhancer remodeling to senescence immune surveillance (RNA-seq)","Cellular senescence is a homeostatic program associated with tumor suppression, wound healing, and certain age related pathologies. Senescent cells display a repressive chromatin configuration thought to stably silence proliferation-promoting genes, while at the same time activate an unusual form of immune surveillance involving a secretory program referred to as the senescence-associated secretory phenotype (SASP). Here we demonstrate that senescence also involves a global remodeling of the enhancer landscape with recruitment of the chromatin reader BRD4 to newly activated super-enhancers adjacent to key SASP genes. Transcriptional profiling and functional studies indicate that BRD4 is required for the SASP and downstream paracrine signaling. Consequently, BRD4 inhibition disrupts immune cell-mediated targeting and elimination of premalignant senescent cells in vitro and in vivo. Our results identify a critical role for BRD4-bound super-enhancers in senescence immune surveillance and in the proper execution of a tumor-suppressive program. Overall design: Analysis of RNA isolated from human fibroblasts (IMR90) in proliferating, quiescent or senescent (HrasV12) conditions upon knockdown of Brd4, p65, p53, p53/RB, p16/21 or Vehicle and JQ1 treatment"
"human","data_sources/sra","SRP164906",52,"RNAseq of fluidically isolated human and mouse motor neuron somas and axons in vitro","Spinal motor axons traverse large distances to innervate target muscle, and thus require local control of cellular events for proper functioning of the distal axon. To interrogate axon-specific processes we developed Axon-seq, a refined method incorporating microfluidic devices and stringent bioinformatic quality controls. Axon-seq demonstrates improved sensitivity and accuracy in whole-transcriptome sequencing of axons compared to previously published studies. Importantly, we show that axon transcriptomes are distinct from those of somas, displaying fewer detected genes and no contaminating astrocytic markers. We identified >5,000 transcripts in stem cell-derived spinal motor axons required for local oxidative energy production and ribosome generation. Axons contained unique transcription factor mRNAs, e.g. Ybx1, with implications for local axonal functions. Cross-comparison with existing mouse motor axon datasets, as well as our own human motor axon data identified a common axon transcriptome. As motor axons degenerate in amyotrophic lateral sclerosis (ALS), we investigated their response to the disease-causing SOD1G93A mutation, identifying 121 ALS-dysregulated transcripts. Several of these are implicated in axonal and dendritic outgrowth, including Nrp1, Dbn1, and Nek1, a known ALS-causing gene. In conclusion, Axon-seq proves a robust and improved method for RNA-seq of axons, furthers our understanding of peripheral axon biology, and identifies novel therapeutic targets to maintain neural connectivity in disease. Overall design: A total of 118 samples were analyzed here. Of these, 32 are microfluidic cell culture samples derived from mouse embryonic stem cells differentiated into motor neurons, where axons and somas were separated for RNA isolation. This was performed for 2 cell lines (control and SOD1G93A), resulting in the following 4 groups: control somas (n=13), control axons (n=5), SOD1G93A somas (n=10) and SOD1G93A axons (n=4). An additional 34 single mouse motor neurons were sequenced (n=12 for control, n=22 for SOD1G93A). Human control motor neurons derived from induced pluripotent stem cells were also cultured in microfluidic devices, and separate axon and soma fractions were harvested (n=6 axon, n=7 soma). An additional n=39 human single motor neurons were sequenced."
